tractid,latitude,longitude
6075010100,37.8084198,-122.4085794
6075010200,37.8058607,-122.4229252
6075010300,37.8016201,-122.4156811
6075010400,37.8022725,-122.4075581
6075010500,37.8026841,-122.3990586
6075010600,37.7993784,-122.4063879
6075010700,37.798514,-122.4100466
6075010800,37.7964984,-122.4142914
6075010900,37.7980418,-122.4205531
6075011000,37.7943823,-122.4198054
6075011100,37.7907445,-122.419076
6075011200,37.7929713,-122.4127333
6075011300,37.7946971,-122.4093492
6075011700,37.7904674,-122.4034859
6075011800,37.7933506,-122.4061645
6075011901,37.7904728,-122.4139142
6075011902,37.7909959,-122.4098067
6075012000,37.7879651,-122.4185205
6075012100,37.7888066,-122.4118881
6075012201,37.7858464,-122.4163535
6075012202,37.7854142,-122.4196438
6075012301,37.7859203,-122.4107461
6075012302,37.7870223,-122.412097
6075012401,37.7830511,-122.415789
6075012402,37.780125,-122.4177669
6075012501,37.783016,-122.4109765
6075012502,37.783933,-122.4125954
6075012601,37.8022695,-122.4391478
6075012602,37.806476,-122.4356807
6075012700,37.8049898,-122.4447181
6075012800,37.7978099,-122.4417466
6075012901,37.8019611,-122.427246
6075012902,37.8006155,-122.4321032
6075013000,37.7972449,-122.4305121
6075013101,37.7937758,-122.4247493
6075013102,37.7926193,-122.4274293
6075013200,37.7936676,-122.4387455
6075013300,37.7887307,-122.4524293
6075013400,37.789849,-122.440799
6075013500,37.7908976,-122.4325551
6075015100,37.7874457,-122.4234011
6075015200,37.7879139,-122.4302666
6075015300,37.7867618,-122.4393346
6075015400,37.7843608,-122.4510358
6075015500,37.7850923,-122.434135
6075015600,37.7782427,-122.4564254
6075015700,37.7789154,-122.4480069
6075015801,37.7813029,-122.4373557
6075015802,37.778079,-122.4385023
6075015900,37.78334,-122.4293428
6075016000,37.7823363,-122.4224838
6075016100,37.7799831,-122.4286631
6075016200,37.777158,-122.4228856
6075016300,37.7760456,-122.4295509
6075016400,37.7750995,-122.4369729
6075016500,37.7741958,-122.4477884
6075016600,37.7704942,-122.4474539
6075016700,37.7703481,-122.4377358
6075016801,37.7713294,-122.4290086
6075016802,37.7735403,-122.4249293
6075016900,37.7670961,-122.4324782
6075017000,37.7648874,-122.4394975
6075017101,37.7657245,-122.4460837
6075017102,37.7654353,-122.4504754
6075017601,37.7794338,-122.4107241
6075017700,37.7680392,-122.4124868
6075017801,37.7820284,-122.4011589
6075017802,37.7760649,-122.4087033
6075017902,37.8619483,-122.419701
6075018000,37.7753304,-122.4022764
6075020100,37.7686074,-122.4200011
6075020200,37.7671163,-122.4241789
6075020300,37.7649411,-122.4294368
6075020401,37.7595166,-122.4434836
6075020402,37.7528357,-122.4444148
6075020500,37.7591285,-122.4370296
6075020600,37.7595628,-122.4303496
6075020700,37.759168,-122.4235588
6075020800,37.7594331,-122.4191487
6075020900,37.7518186,-122.4184125
6075021000,37.7515789,-122.422849
6075021100,37.75397,-122.4298144
6075021200,37.7531762,-122.4381261
6075021300,37.7492646,-122.4384676
6075021400,37.7495758,-122.4294049
6075021500,37.7450512,-122.426705
6075021600,37.7454964,-122.4381417
6075021700,37.740278,-122.4392706
6075021800,37.737952,-122.4290987
6075022600,37.762479,-122.3835595
6075022702,37.7625436,-122.3956056
6075022704,37.7609519,-122.4019893
6075022801,37.7607261,-122.4125093
6075022802,37.7589152,-122.4062322
6075022803,37.7558368,-122.4120842
6075022901,37.7511975,-122.4139453
6075022902,37.7513411,-122.4103784
6075022903,37.7517621,-122.4062364
6075023001,37.7351925,-122.4017602
6075023003,37.7326723,-122.3958269
6075023102,37.734492,-122.3844982
6075023103,37.7356318,-122.3759653
6075023200,37.7277547,-122.3861386
6075023300,37.7254139,-122.3977689
6075023400,37.7215929,-122.3900882
6075025100,37.7439369,-122.4076735
6075025200,37.7437089,-122.4142164
6075025300,37.7437059,-122.4201527
6075025401,37.7396295,-122.4224695
6075025402,37.7368829,-122.412786
6075025403,37.7337691,-122.4205619
6075025500,37.7280611,-122.4372627
6075025600,37.7287139,-122.4224279
6075025701,37.7315763,-122.4121411
6075025702,37.7281305,-122.4057589
6075025800,37.7216202,-122.4020019
6075025900,37.7234533,-122.4105033
6075026001,37.7235502,-122.4322434
6075026002,37.7261197,-122.4262823
6075026003,37.7196247,-122.4287994
6075026004,37.7178905,-122.4357008
6075026100,37.7196219,-122.4431582
6075026200,37.7113172,-122.4539535
6075026301,37.7138685,-122.439533
6075026302,37.7116589,-122.4307918
6075026303,37.7096646,-122.4434663
6075026401,37.7135251,-122.4112834
6075026402,37.7164873,-122.403256
6075026403,37.7111894,-122.4069033
6075026404,37.7096499,-122.4152838
6075030101,37.7642357,-122.4597306
6075030102,37.7594542,-122.4580012
6075030201,37.7628146,-122.4737784
6075030202,37.7630839,-122.4673274
6075030301,37.7569429,-122.4692415
6075030302,37.7519442,-122.4716376
6075030400,37.7469509,-122.4675173
6075030500,37.7523832,-122.4517871
6075030600,37.743754,-122.4571446
6075030700,37.7372232,-122.4503095
6075030800,37.7391922,-122.4678545
6075030900,37.7283108,-122.4682602
6075031000,37.7286172,-122.4571587
6075031100,37.7296356,-122.4461642
6075031201,37.7217805,-122.4573334
6075031202,37.7193276,-122.4523964
6075031301,37.7193263,-122.4678672
6075031302,37.7133955,-122.467097
6075031400,37.7147206,-122.4571446
6075032601,37.7624848,-122.4807924
6075032602,37.7589003,-122.4825954
6075032700,37.760167,-122.4911676
6075032801,37.7460215,-122.4804177
6075032802,37.7530955,-122.4812305
6075032901,37.7461534,-122.4901861
6075032902,37.7526805,-122.4906443
6075033000,37.7381567,-122.4834271
6075033100,37.7321973,-122.4872238
6075033201,37.726265,-122.4796588
6075033203,37.7159256,-122.4782503
6075033204,37.7196259,-122.4804118
6075035100,37.7576269,-122.4991499
6075035201,37.7566148,-122.5104339
6075035202,37.7613974,-122.5061466
6075035300,37.7425001,-122.4978433
6075035400,37.7421024,-122.5072276
6075040100,37.7851543,-122.4618142
6075040200,37.7843252,-122.4683889
6075042601,37.7831165,-122.4811913
6075042602,37.7833793,-122.4754787
6075042700,37.7822651,-122.4881473
6075042800,37.7880433,-122.4885865
6075045100,37.777583,-122.4613476
6075045200,37.7771137,-122.467999
6075047600,37.7767698,-122.475543
6075047701,37.7782506,-122.4840627
6075047702,37.7744602,-122.4837889
6075047801,37.7758371,-122.4921143
6075047802,37.779204,-122.497393
6075047901,37.7824907,-122.5098633
6075047902,37.7791834,-122.5039633
6075060100,37.7991353,-122.480109
6075060400,37.7223022,-122.4911286
6075060502,37.7109991,-122.4199075
6075060700,37.7723808,-122.3906714
6075061000,37.7132283,-122.3846994
6075061100,37.7955998,-122.4040647
6075061200,37.7370414,-122.3901777
6075061400,37.7550917,-122.3974733
6075061500,37.7877258,-122.3923886
6075980200,37.7860688,-122.5028261
6075980300,37.7684025,-122.4920873
6075980401,37.7272391,-123.0322294
6075980501,37.7162957,-122.4191554
6075980600,37.7231655,-122.3685424
6075980900,37.7462861,-122.389477
6075990100,37.76216,-122.5518622
