,Unnamed: 0,tractid,latitude,longitude,rest_score,rest_proximity
0,0,6075010100,37.8084198,-122.4085794,90.6018859978,43.4443911252
1,1,6075010200,37.8058607,-122.4229252,90.2953697745,29.9972322837
2,2,6075010300,37.8016201,-122.4156811,90.457677392,61.8122022747
3,3,6075010400,37.8022725,-122.4075581,90.6527015255,70.6489502874
4,4,6075010500,37.8026841,-122.3990586,90.8733983221,61.752785364
5,5,6075010600,37.7993784,-122.4063879,90.6970638642,81.9715594737
6,6,6075010700,37.798514,-122.4100466,90.6064554604,82.7497763109
7,7,6075010800,37.7964984,-122.4142914,90.5088443032,81.148118305
8,8,6075010900,37.7980418,-122.4205531,90.358855895,58.8517395898
9,9,6075011000,37.7943823,-122.4198054,90.3872558168,69.0608057289
10,10,6075011100,37.7907445,-122.419076,90.4188853051,75.7026079293
11,11,6075011200,37.7929713,-122.4127333,90.5634352155,91.6046356725
12,12,6075011300,37.7946971,-122.4093492,90.6428715085,93.9138405231
13,13,6075011700,37.7904674,-122.4034859,90.8293875136,100.0
14,14,6075011800,37.7933506,-122.4061645,90.7360913512,98.1295795505
15,15,6075011901,37.7904728,-122.4139142,90.5457163363,91.3353913616
16,16,6075011902,37.7909959,-122.4098067,90.6503372833,98.715050235
17,17,6075012000,37.7879651,-122.4185205,90.445609939,78.0560391225
18,18,6075012100,37.7888066,-122.4118881,90.6071573243,96.1458352055
19,19,6075012201,37.7858464,-122.4163535,90.5099616345,83.5649821766
20,20,6075012202,37.7854142,-122.4196438,90.4337698558,72.7444524164
21,21,6075012301,37.7859203,-122.4107461,90.6549644324,96.4125432302
22,22,6075012302,37.7870223,-122.412097,90.6120104106,95.0605278076
23,23,6075012401,37.7830511,-122.415789,90.541877391,81.3216940025
24,24,6075012402,37.780125,-122.4177669,90.5145450725,70.1365669954
25,25,6075012501,37.783016,-122.4109765,90.6679788201,91.4832320675
26,26,6075012502,37.783933,-122.4125954,90.6182961819,90.3713914957
27,27,6075012601,37.8022695,-122.4391478,90.0514493816,13.6837920493
28,28,6075012602,37.806476,-122.4356807,90.0951705732,12.7388498483
29,29,6075012700,37.8049898,-122.4447181,90.0054121112,8.20010108213
30,30,6075012800,37.7978099,-122.4417466,90.0219174772,14.9478391023
31,31,6075012901,37.8019611,-122.427246,90.2194286819,29.5129064896
32,32,6075012902,37.8006155,-122.4321032,90.1413622116,22.3878109981
33,33,6075013000,37.7972449,-122.4305121,90.1704430759,29.4610568276
34,34,6075013101,37.7937758,-122.4247493,90.2842766298,51.9515334985
35,35,6075013102,37.7926193,-122.4274293,90.2364359558,43.6663467266
36,36,6075013200,37.7936676,-122.4387455,90.059229443,20.4081588075
37,37,6075013300,37.7887307,-122.4524293,89.8839948149,13.7262672309
38,38,6075013400,37.789849,-122.440799,90.0409274842,20.6296767811
39,39,6075013500,37.7908976,-122.4325551,90.1540970275,30.4937788664
40,40,6075015100,37.7874457,-122.4234011,90.3390852285,60.4414525713
41,41,6075015200,37.7879139,-122.4302666,90.204543974,37.1872700601
42,42,6075015300,37.7867618,-122.4393346,90.0698657146,23.2984389268
43,43,6075015400,37.7843608,-122.4510358,89.8944087296,15.6629219683
44,44,6075015500,37.7850923,-122.434135,90.1549625652,29.9787269066
45,45,6075015600,37.7782427,-122.4564254,89.7362653031,14.6364771922
46,46,6075015700,37.7789154,-122.4480069,89.9510049828,17.4692241306
47,47,6075015801,37.7813029,-122.4373557,90.1268544667,26.2267079383
48,48,6075015802,37.778079,-122.4385023,90.1302920694,24.5209422777
49,49,6075015900,37.78334,-122.4293428,90.2469313703,39.3977237752
50,50,6075016000,37.7823363,-122.4224838,90.3901756055,59.7901540843
51,51,6075016100,37.7799831,-122.4286631,90.2841221667,39.3847521041
52,52,6075016200,37.777158,-122.4228856,90.4237985928,50.64244292
53,53,6075016300,37.7760456,-122.4295509,90.3033926161,35.4546329858
54,54,6075016400,37.7750995,-122.4369729,90.1814003634,25.3953627093
55,55,6075016500,37.7741958,-122.4477884,89.9646220167,16.7969057189
56,56,6075016600,37.7704942,-122.4474539,89.985478971,15.8298064241
57,57,6075016700,37.7703481,-122.4377358,90.2154412882,22.8405360503
58,58,6075016801,37.7713294,-122.4290086,90.3663528268,33.7019465711
59,59,6075016802,37.7735403,-122.4249293,90.4186630516,40.9540477277
60,60,6075016900,37.7670961,-122.4324782,90.3586082253,27.380406158
61,61,6075017000,37.7648874,-122.4394975,90.2422056237,18.8273194147
62,62,6075017101,37.7657245,-122.4460837,90.0527612712,14.4306298597
63,63,6075017102,37.7654353,-122.4504754,89.9005205532,12.5803799387
64,64,6075017601,37.7794338,-122.4107241,90.7014496243,82.8912487871
65,65,6075017700,37.7680392,-122.4124868,90.7667939574,44.2010272043
66,66,6075017801,37.7820284,-122.4011589,90.9605913278,88.1070441613
67,67,6075017802,37.7760649,-122.4087033,90.7859907132,73.6477363791
68,68,6075017902,37.8619483,-122.419701,90.6152388145,0.0
69,69,6075018000,37.7753304,-122.4022764,90.9834081874,68.1475941833
70,70,6075020100,37.7686074,-122.4200011,90.5821233645,40.4517164606
71,71,6075020200,37.7671163,-122.4241789,90.5162941135,35.5097826274
72,72,6075020300,37.7649411,-122.4294368,90.4486644577,29.3393528028
73,73,6075020401,37.7595166,-122.4434836,90.1961037635,12.9642335287
74,74,6075020402,37.7528357,-122.4444148,90.248345799,9.36870824284
75,75,6075020500,37.7591285,-122.4370296,90.3853656847,18.4754889748
76,76,6075020600,37.7595628,-122.4303496,90.5223999281,25.195877747
77,77,6075020700,37.759168,-122.4235588,90.6593300107,29.5192127163
78,78,6075020800,37.7594331,-122.4191487,90.7412849691,30.7170850812
79,79,6075020900,37.7518186,-122.4184125,90.8970192184,24.8052605956
80,80,6075021000,37.7515789,-122.422849,90.8195416399,24.2119066773
81,81,6075021100,37.75397,-122.4298144,90.6391660325,22.1936877601
82,82,6075021200,37.7531762,-122.4381261,90.456405835,14.4118038543
83,83,6075021300,37.7492646,-122.4384676,90.5148833688,12.0954546213
84,84,6075021400,37.7495758,-122.4294049,90.7352264737,19.4684341292
85,85,6075021500,37.7450512,-122.426705,90.8791521508,17.7676729773
86,86,6075021600,37.7454964,-122.4381417,90.5923245869,10.5871225196
87,87,6075021700,37.740278,-122.4392706,90.6465438194,8.29969410248
88,88,6075021800,37.737952,-122.4290987,90.9602993702,11.9185675168
89,89,6075022600,37.762479,-122.3835595,91.7719224295,8.25529927197
90,90,6075022702,37.7625436,-122.3956056,91.3331354048,17.9137861727
91,91,6075022704,37.7609519,-122.4019893,91.1475230767,22.4457585638
92,92,6075022801,37.7607261,-122.4125093,90.8664901343,30.1879400717
93,93,6075022802,37.7589152,-122.4062322,91.0529938837,23.8710245541
94,94,6075022803,37.7558368,-122.4120842,90.9547365747,25.5738900136
95,95,6075022901,37.7511975,-122.4139453,90.9960682308,23.0644377396
96,96,6075022902,37.7513411,-122.4103784,91.0690781017,21.2558446772
97,97,6075022903,37.7517621,-122.4062364,91.1589791331,18.5979334255
98,98,6075023001,37.7351925,-122.4017602,91.4765196634,8.00073604936
99,99,6075023003,37.7326723,-122.3958269,91.6131144129,5.75054656102
100,100,6075023102,37.734492,-122.3844982,91.8840182682,3.32767806393
101,101,6075023103,37.7356318,-122.3759653,92.1400458409,1.58129976617
102,102,6075023200,37.7277547,-122.3861386,91.8232184451,3.32535991908
103,103,6075023300,37.7254139,-122.3977689,91.6011883642,4.86336081798
104,104,6075023400,37.7215929,-122.3900882,91.7258132517,3.31763194988
105,105,6075025100,37.7439369,-122.4076735,91.2484518443,14.8823886878
106,106,6075025200,37.7437089,-122.4142164,91.1268349221,17.3614590809
107,107,6075025300,37.7437059,-122.4201527,91.0232298818,18.244457605
108,108,6075025401,37.7396295,-122.4224695,91.0576284644,14.800449309
109,109,6075025402,37.7368829,-122.412786,91.2616365171,12.1041182249
110,110,6075025403,37.7337691,-122.4205619,91.1814757628,10.8770321521
111,111,6075025500,37.7280611,-122.4372627,90.8918457833,7.25932140198
112,112,6075025600,37.7287139,-122.4224279,91.2111455756,8.2072532713
113,113,6075025701,37.7315763,-122.4121411,91.3390274143,8.83735699328
114,114,6075025702,37.7281305,-122.4057589,91.4653797639,6.39703226123
115,115,6075025800,37.7216202,-122.4020019,91.5468500996,4.38979567796
116,116,6075025900,37.7234533,-122.4105033,91.4274207754,5.20249591391
117,117,6075026001,37.7235502,-122.4322434,91.0634148001,6.64345766511
118,118,6075026002,37.7261197,-122.4262823,91.1668608911,7.21220791848
119,119,6075026003,37.7196247,-122.4287994,91.1601293818,5.5779494408
120,120,6075026004,37.7178905,-122.4357008,91.0219139295,5.74739015103
121,121,6075026100,37.7196219,-122.4431582,90.8247817699,6.03308757947
122,122,6075026200,37.7113172,-122.4539535,90.7588162931,3.61483265021
123,123,6075026301,37.7138685,-122.439533,90.9625212523,5.10804891476
124,124,6075026302,37.7116589,-122.4307918,91.1448433126,3.91150916126
125,125,6075026303,37.7096646,-122.4434663,90.9193706706,4.07889998319
126,126,6075026401,37.7135251,-122.4112834,91.442996279,2.51564706157
127,127,6075026402,37.7164873,-122.403256,91.536418185,3.27593450131
128,128,6075026403,37.7111894,-122.4069033,91.4930249457,2.15445061166
129,129,6075026404,37.7096499,-122.4152838,91.3920088987,1.82853670975
130,130,6075030101,37.7642357,-122.4597306,89.4836952856,10.8402093476
131,131,6075030102,37.7594542,-122.4580012,89.5477885576,8.68575346161
132,132,6075030201,37.7628146,-122.4737784,88.8765914145,10.3449549578
133,133,6075030202,37.7630839,-122.4673274,89.1129073741,10.6627352129
134,134,6075030301,37.7569429,-122.4692415,88.9793956613,8.61284074592
135,135,6075030302,37.7519442,-122.4716376,88.9065232355,7.90517928884
136,136,6075030400,37.7469509,-122.4675173,89.1363078411,6.67151769333
137,137,6075030500,37.7523832,-122.4517871,89.9104655508,6.50592895717
138,138,6075030600,37.743754,-122.4571446,89.7307800329,4.57759523467
139,139,6075030700,37.7372232,-122.4503095,90.2357450287,4.9039545023
140,140,6075030800,37.7391922,-122.4678545,89.3660562244,5.81653761021
141,141,6075030900,37.7283108,-122.4682602,89.9007623698,5.2401981695
142,142,6075031000,37.7286172,-122.4571587,90.1788240727,5.18229788727
143,143,6075031100,37.7296356,-122.4461642,90.5722471571,6.14229919937
144,144,6075031201,37.7217805,-122.4573334,90.4151952393,4.90957573008
145,145,6075031202,37.7193276,-122.4523964,90.5985260933,5.15239401868
146,146,6075031301,37.7193263,-122.4678672,90.3960802125,3.92754654845
147,147,6075031302,37.7133955,-122.467097,90.6766892262,2.91127245526
148,148,6075031400,37.7147206,-122.4571446,90.6439179467,3.91562050055
149,149,6075032601,37.7624848,-122.4807924,88.748069023,9.42098318117
150,150,6075032602,37.7589003,-122.4825954,88.7119959265,8.61595788234
151,151,6075032700,37.760167,-122.4911676,88.8100975353,7.25912345028
152,152,6075032801,37.7460215,-122.4804177,88.8924063674,7.57877227204
153,153,6075032802,37.7530955,-122.4812305,88.7342742694,8.12051568292
154,154,6075032901,37.7461534,-122.4901861,89.0160561104,6.28567157727
155,155,6075032902,37.7526805,-122.4906443,88.851836844,6.67778040223
156,156,6075033000,37.7381567,-122.4834271,89.2706705668,6.21817990465
157,157,6075033100,37.7321973,-122.4872238,89.712499066,4.79732519264
158,158,6075033201,37.726265,-122.4796588,90.0142037878,4.6090182433
159,159,6075033203,37.7159256,-122.4782503,90.6857346973,2.70982016688
160,160,6075033204,37.7196259,-122.4804118,90.4848648487,3.26444745221
161,161,6075035100,37.7576269,-122.4991499,89.0539996685,5.01385560576
162,162,6075035201,37.7566148,-122.5104339,89.5522970232,2.23567221955
163,163,6075035202,37.7613974,-122.5061466,89.3141182747,3.31349725084
164,164,6075035300,37.7425001,-122.4978433,89.4099511428,4.12708756078
165,165,6075035400,37.7421024,-122.5072276,89.8165739418,2.17449580712
166,166,6075040100,37.7851543,-122.4618142,89.6635161391,12.1760797987
167,167,6075040200,37.7843252,-122.4683889,89.4825875038,11.5606797153
168,168,6075042601,37.7831165,-122.4811913,89.2173030912,8.95165471137
169,169,6075042602,37.7833793,-122.4754787,89.3030781116,10.4833282078
170,170,6075042700,37.7822651,-122.4881473,89.1773528458,6.84455636587
171,171,6075042800,37.7880433,-122.4885865,89.3226200223,5.12485463115
172,172,6075045100,37.777583,-122.4613476,89.5736882999,14.1052641212
173,173,6075045200,37.7771137,-122.467999,89.3455787597,13.5324004122
174,174,6075047600,37.7767698,-122.475543,89.1344636945,12.1117145806
175,175,6075047701,37.7782506,-122.4840627,89.070963905,9.21467016039
176,176,6075047702,37.7744602,-122.4837889,88.9738925814,9.82387572037
177,177,6075047801,37.7758371,-122.4921143,89.0556713505,6.9150106249
178,178,6075047802,37.779204,-122.497393,89.2187453192,4.94770290212
179,179,6075047901,37.7824907,-122.5098633,89.5835591009,1.85067958251
180,180,6075047902,37.7791834,-122.5039633,89.3750512288,3.28630337081
181,181,6075060100,37.7991353,-122.480109,89.594757648,2.75076303132
182,182,6075060400,37.7223022,-122.4911286,90.5220410585,2.60333345808
183,183,6075060502,37.7109991,-122.4199075,91.3284077473,2.46126847066
184,184,6075060700,37.7723808,-122.3906714,91.3982947332,32.1960858397
185,185,6075061000,37.7132283,-122.3846994,91.7733645639,1.3900963857
186,186,6075061100,37.7955998,-122.4040647,90.7807177604,92.6780677083
187,187,6075061200,37.7370414,-122.3901777,91.7296711617,4.88876849954
188,188,6075061400,37.7550917,-122.3974733,91.3589300292,13.1820803181
189,189,6075061500,37.7877258,-122.3923886,91.1867938696,69.9515242597
190,190,6075980200,37.7860688,-122.5028261,89.4616270383,2.67678344618
191,191,6075980300,37.7684025,-122.4920873,88.9086166239,7.42806868374
192,192,6075980401,37.7272391,-123.0322294,91.0288277712,0.0
193,193,6075980501,37.7162957,-122.4191554,91.3350389075,3.74074945143
194,194,6075980600,37.7231655,-122.3685424,92.1956432652,0.437429037548
195,195,6075980900,37.7462861,-122.389477,91.7030670743,5.48897383543
196,196,6075990100,37.76216,-122.5518622,91.237799796,0.0
