tractid,latitude,longitude,crime_index,rest_proximity,rest_score
6075010100,37.8084198,-122.4085794,10.8968023247,43.4443911252,90.6018859978
6075010200,37.8058607,-122.4229252,11.0775459196,29.9972322837,90.2953697745
6075010300,37.8016201,-122.4156811,21.6133374693,61.8122022747,90.457677392
6075010400,37.8022725,-122.4075581,21.1196499806,70.6489502874,90.6527015255
6075010500,37.8026841,-122.3990586,12.4134296239,61.752785364,90.8733983221
6075010600,37.7993784,-122.4063879,27.9242225077,81.9715594737,90.6970638642
6075010700,37.798514,-122.4100466,32.1612085665,82.7497763109,90.6064554604
6075010800,37.7964984,-122.4142914,38.0451186575,81.148118305,90.5088443032
6075010900,37.7980418,-122.4205531,25.5307108846,58.8517395898,90.358855895
6075011000,37.7943823,-122.4198054,38.3885050719,69.0608057289,90.3872558168
6075011100,37.7907445,-122.419076,55.8619546105,75.7026079293,90.4188853051
6075011200,37.7929713,-122.4127333,57.2990515664,91.6046356725,90.5634352155
6075011300,37.7946971,-122.4093492,48.3079254863,93.9138405231,90.6428715085
6075011700,37.7904674,-122.4034859,56.5046531789,100.0,90.8293875136
6075011800,37.7933506,-122.4061645,51.3033268399,98.1295795505,90.7360913512
6075011901,37.7904728,-122.4139142,70.6619282732,91.3353913616,90.5457163363
6075011902,37.7909959,-122.4098067,69.2454750525,98.715050235,90.6503372833
6075012000,37.7879651,-122.4185205,69.723294716,78.0560391225,90.445609939
6075012100,37.7888066,-122.4118881,82.29758725,96.1458352055,90.6071573243
6075012201,37.7858464,-122.4163535,85.5573924517,83.5649821766,90.5099616345
6075012202,37.7854142,-122.4196438,72.0386161415,72.7444524164,90.4337698558
6075012301,37.7859203,-122.4107461,95.0421837909,96.4125432302,90.6549644324
6075012302,37.7870223,-122.412097,90.9208655136,95.0605278076,90.6120104106
6075012401,37.7830511,-122.415789,91.8005987792,81.3216940025,90.541877391
6075012402,37.780125,-122.4177669,80.3694509241,70.1365669954,90.5145450725
6075012501,37.783016,-122.4109765,100.0,91.4832320675,90.6679788201
6075012502,37.783933,-122.4125954,99.0030082226,90.3713914957,90.6182961819
6075012601,37.8022695,-122.4391478,7.70960549083,13.6837920493,90.0514493816
6075012602,37.806476,-122.4356807,5.91206776094,12.7388498483,90.0951705732
6075012700,37.8049898,-122.4447181,4.02855269201,8.20010108213,90.0054121112
6075012800,37.7978099,-122.4417466,8.36340097574,14.9478391023,90.0219174772
6075012901,37.8019611,-122.427246,13.0069533432,29.5129064896,90.2194286819
6075012902,37.8006155,-122.4321032,11.8266429314,22.3878109981,90.1413622116
6075013000,37.7972449,-122.4305121,16.0465347082,29.4610568276,90.1704430759
6075013101,37.7937758,-122.4247493,29.7325616548,51.9515334985,90.2842766298
6075013102,37.7926193,-122.4274293,26.7914563185,43.6663467266,90.2364359558
6075013200,37.7936676,-122.4387455,12.2429261318,20.4081588075,90.059229443
6075013300,37.7887307,-122.4524293,5.90180562775,13.7262672309,89.8839948149
6075013400,37.789849,-122.440799,12.6578941706,20.6296767811,90.0409274842
6075013500,37.7908976,-122.4325551,20.6888867898,30.4937788664,90.1540970275
6075015100,37.7874457,-122.4234011,50.3336749191,60.4414525713,90.3390852285
6075015200,37.7879139,-122.4302666,28.1014997688,37.1872700601,90.204543974
6075015300,37.7867618,-122.4393346,16.0811088588,23.2984389268,90.0698657146
6075015400,37.7843608,-122.4510358,8.82058328427,15.6629219683,89.8944087296
6075015500,37.7850923,-122.434135,23.7234454832,29.9787269066,90.1549625652
6075015600,37.7782427,-122.4564254,9.81379622273,14.6364771922,89.7362653031
6075015700,37.7789154,-122.4480069,13.1588087406,17.4692241306,89.9510049828
6075015801,37.7813029,-122.4373557,21.3097706925,26.2267079383,90.1268544667
6075015802,37.778079,-122.4385023,20.6302158995,24.5209422777,90.1302920694
6075015900,37.78334,-122.4293428,34.3187928256,39.3977237752,90.2469313703
6075016000,37.7823363,-122.4224838,60.2494966874,59.7901540843,90.3901756055
6075016100,37.7799831,-122.4286631,36.5189457427,39.3847521041,90.2841221667
6075016200,37.777158,-122.4228856,52.8948486098,50.64244292,90.4237985928
6075016300,37.7760456,-122.4295509,33.0460455592,35.4546329858,90.3033926161
6075016400,37.7750995,-122.4369729,21.8799130281,25.3953627093,90.1814003634
6075016500,37.7741958,-122.4477884,14.5265822838,16.7969057189,89.9646220167
6075016600,37.7704942,-122.4474539,14.2521490386,15.8298064241,89.985478971
6075016700,37.7703481,-122.4377358,19.4064956588,22.8405360503,90.2154412882
6075016801,37.7713294,-122.4290086,31.8602095579,33.7019465711,90.3663528268
6075016802,37.7735403,-122.4249293,42.0412889116,40.9540477277,90.4186630516
6075016900,37.7670961,-122.4324782,23.9347367842,27.380406158,90.3586082253
6075017000,37.7648874,-122.4394975,14.852668433,18.8273194147,90.2422056237
6075017101,37.7657245,-122.4460837,12.1901677992,14.4306298597,90.0527612712
6075017102,37.7654353,-122.4504754,10.6913538456,12.5803799387,89.9005205532
6075017601,37.7794338,-122.4107241,93.1225637026,82.8912487871,90.7014496243
6075017700,37.7680392,-122.4124868,45.2657708914,44.2010272043,90.7667939574
6075017801,37.7820284,-122.4011589,60.708408939,88.1070441613,90.9605913278
6075017802,37.7760649,-122.4087033,75.4282552962,73.6477363791,90.7859907132
6075017902,37.8619483,-122.419701,6.14569652735e-13,0.0,90.6152388145
6075018000,37.7753304,-122.4022764,51.6249886947,68.1475941833,90.9834081874
6075020100,37.7686074,-122.4200011,46.344191888,40.4517164606,90.5821233645
6075020200,37.7671163,-122.4241789,38.9059595197,35.5097826274,90.5162941135
6075020300,37.7649411,-122.4294368,27.512461071,29.3393528028,90.4486644577
6075020401,37.7595166,-122.4434836,8.86258775461,12.9642335287,90.1961037635
6075020402,37.7528357,-122.4444148,5.13277872802,9.36870824284,90.248345799
6075020500,37.7591285,-122.4370296,12.6712565424,18.4754889748,90.3853656847
6075020600,37.7595628,-122.4303496,20.6452689184,25.195877747,90.5223999281
6075020700,37.759168,-122.4235588,31.406746318,29.5192127163,90.6593300107
6075020800,37.7594331,-122.4191487,36.2716181974,30.7170850812,90.7412849691
6075020900,37.7518186,-122.4184125,24.7587735675,24.8052605956,90.8970192184
6075021000,37.7515789,-122.422849,21.0484389723,24.2119066773,90.8195416399
6075021100,37.75397,-122.4298144,15.0293443225,22.1936877601,90.6391660325
6075021200,37.7531762,-122.4381261,7.83496546344,14.4118038543,90.456405835
6075021300,37.7492646,-122.4384676,5.96214060237,12.0954546213,90.5148833688
6075021400,37.7495758,-122.4294049,11.783996794,19.4684341292,90.7352264737
6075021500,37.7450512,-122.426705,11.6809911269,17.7676729773,90.8791521508
6075021600,37.7454964,-122.4381417,5.18183422478,10.5871225196,90.5923245869
6075021700,37.740278,-122.4392706,4.70838207275,8.29969410248,90.6465438194
6075021800,37.737952,-122.4290987,8.66848807613,11.9185675168,90.9602993702
6075022600,37.762479,-122.3835595,2.70128450371,8.25529927197,91.7719224295
6075022702,37.7625436,-122.3956056,11.1898009627,17.9137861727,91.3331354048
6075022704,37.7609519,-122.4019893,17.9582661274,22.4457585638,91.1475230767
6075022801,37.7607261,-122.4125093,33.6604188051,30.1879400717,90.8664901343
6075022802,37.7589152,-122.4062322,22.5958402924,23.8710245541,91.0529938837
6075022803,37.7558368,-122.4120842,27.8411333741,25.5738900136,90.9547365747
6075022901,37.7511975,-122.4139453,23.3980765356,23.0644377396,90.9960682308
6075022902,37.7513411,-122.4103784,21.1172628667,21.2558446772,91.0690781017
6075022903,37.7517621,-122.4062364,17.8649662589,18.5979334255,91.1589791331
6075023001,37.7351925,-122.4017602,11.7768343505,8.00073604936,91.4765196634
6075023003,37.7326723,-122.3958269,15.2869839726,5.75054656102,91.6131144129
6075023102,37.734492,-122.3844982,14.2455782819,3.32767806393,91.8840182682
6075023103,37.7356318,-122.3759653,6.24798640055,1.58129976617,92.1400458409
6075023200,37.7277547,-122.3861386,13.7101400639,3.32535991908,91.8232184451
6075023300,37.7254139,-122.3977689,11.8077704412,4.86336081798,91.6011883642
6075023400,37.7215929,-122.3900882,10.0540345673,3.31763194988,91.7258132517
6075025100,37.7439369,-122.4076735,12.4122870325,14.8823886878,91.2484518443
6075025200,37.7437089,-122.4142164,14.5284527136,17.3614590809,91.1268349221
6075025300,37.7437059,-122.4201527,14.6263151346,18.244457605,91.0232298818
6075025401,37.7396295,-122.4224695,11.3871826541,14.800449309,91.0576284644
6075025402,37.7368829,-122.412786,10.001114456,12.1041182249,91.2616365171
6075025403,37.7337691,-122.4205619,9.14914989148,10.8770321521,91.1814757628
6075025500,37.7280611,-122.4372627,8.90031732231,7.25932140198,90.8918457833
6075025600,37.7287139,-122.4224279,7.7326297547,8.2072532713,91.2111455756
6075025701,37.7315763,-122.4121411,8.46408018503,8.83735699328,91.3390274143
6075025702,37.7281305,-122.4057589,9.5088833927,6.39703226123,91.4653797639
6075025800,37.7216202,-122.4020019,8.9246553659,4.38979567796,91.5468500996
6075025900,37.7234533,-122.4105033,7.07035066247,5.20249591391,91.4274207754
6075026001,37.7235502,-122.4322434,9.57740978634,6.64345766511,91.0634148001
6075026002,37.7261197,-122.4262823,8.09518071223,7.21220791848,91.1668608911
6075026003,37.7196247,-122.4287994,7.74042417935,5.5779494408,91.1601293818
6075026004,37.7178905,-122.4357008,9.12264678772,5.74739015103,91.0219139295
6075026100,37.7196219,-122.4431582,9.24322737555,6.03308757947,90.8247817699
6075026200,37.7113172,-122.4539535,5.90772682792,3.61483265021,90.7588162931
6075026301,37.7138685,-122.439533,7.55137414933,5.10804891476,90.9625212523
6075026302,37.7116589,-122.4307918,5.15235672097,3.91150916126,91.1448433126
6075026303,37.7096646,-122.4434663,5.10089005204,4.07889998319,90.9193706706
6075026401,37.7135251,-122.4112834,6.46742798595,2.51564706157,91.442996279
6075026402,37.7164873,-122.403256,6.98603303182,3.27593450131,91.536418185
6075026403,37.7111894,-122.4069033,5.45713902871,2.15445061166,91.4930249457
6075026404,37.7096499,-122.4152838,5.732067438,1.82853670975,91.3920088987
6075030101,37.7642357,-122.4597306,7.15725928821,10.8402093476,89.4836952856
6075030102,37.7594542,-122.4580012,5.15353170676,8.68575346161,89.5477885576
6075030201,37.7628146,-122.4737784,5.04598051307,10.3449549578,88.8765914145
6075030202,37.7630839,-122.4673274,5.74643503942,10.6627352129,89.1129073741
6075030301,37.7569429,-122.4692415,4.47711569641,8.61284074592,88.9793956613
6075030302,37.7519442,-122.4716376,4.05658816146,7.90517928884,88.9065232355
6075030400,37.7469509,-122.4675173,3.53756286062,6.67151769333,89.1363078411
6075030500,37.7523832,-122.4517871,3.38383220865,6.50592895717,89.9104655508
6075030600,37.743754,-122.4571446,2.73268162809,4.57759523467,89.7307800329
6075030700,37.7372232,-122.4503095,3.35923939681,4.9039545023,90.2357450287
6075030800,37.7391922,-122.4678545,3.70148367218,5.81653761021,89.3660562244
6075030900,37.7283108,-122.4682602,5.04425763978,5.2401981695,89.9007623698
6075031000,37.7286172,-122.4571587,5.46538601061,5.18229788727,90.1788240727
6075031100,37.7296356,-122.4461642,6.13046698369,6.14229919937,90.5722471571
6075031201,37.7217805,-122.4573334,7.52367136849,4.90957573008,90.4151952393
6075031202,37.7193276,-122.4523964,8.12152163379,5.15239401868,90.5985260933
6075031301,37.7193263,-122.4678672,5.92433983364,3.92754654845,90.3960802125
6075031302,37.7133955,-122.467097,4.98840982504,2.91127245526,90.6766892262
6075031400,37.7147206,-122.4571446,7.08961302423,3.91562050055,90.6439179467
6075032601,37.7624848,-122.4807924,4.21656934807,9.42098318117,88.748069023
6075032602,37.7589003,-122.4825954,4.06456766224,8.61595788234,88.7119959265
6075032700,37.760167,-122.4911676,3.27329787522,7.25912345028,88.8100975353
6075032801,37.7460215,-122.4804177,4.25391644042,7.57877227204,88.8924063674
6075032802,37.7530955,-122.4812305,4.15315826287,8.12051568292,88.7342742694
6075032901,37.7461534,-122.4901861,3.50959435237,6.28567157727,89.0160561104
6075032902,37.7526805,-122.4906443,3.46224983836,6.67778040223,88.851836844
6075033000,37.7381567,-122.4834271,3.88747435355,6.21817990465,89.2706705668
6075033100,37.7321973,-122.4872238,2.98120310976,4.79732519264,89.712499066
6075033201,37.726265,-122.4796588,4.53365167645,4.6090182433,90.0142037878
6075033203,37.7159256,-122.4782503,3.56167856957,2.70982016688,90.6857346973
6075033204,37.7196259,-122.4804118,3.80860744571,3.26444745221,90.4848648487
6075035100,37.7576269,-122.4991499,3.27035760074,5.01385560576,89.0539996685
6075035201,37.7566148,-122.5104339,2.12616836823,2.23567221955,89.5522970232
6075035202,37.7613974,-122.5061466,3.02016506884,3.31349725084,89.3141182747
6075035300,37.7425001,-122.4978433,2.93614343059,4.12708756078,89.4099511428
6075035400,37.7421024,-122.5072276,1.78675378493,2.17449580712,89.8165739418
6075040100,37.7851543,-122.4618142,6.05795294543,12.1760797987,89.6635161391
6075040200,37.7843252,-122.4683889,5.6125918219,11.5606797153,89.4825875038
6075042601,37.7831165,-122.4811913,4.39062073064,8.95165471137,89.2173030912
6075042602,37.7833793,-122.4754787,4.87390172583,10.4833282078,89.3030781116
6075042700,37.7822651,-122.4881473,3.88803350636,6.84455636587,89.1773528458
6075042800,37.7880433,-122.4885865,2.23471272434,5.12485463115,89.3226200223
6075045100,37.777583,-122.4613476,8.75091824586,14.1052641212,89.5736882999
6075045200,37.7771137,-122.467999,7.38030740997,13.5324004122,89.3455787597
6075047600,37.7767698,-122.475543,5.69758056247,12.1117145806,89.1344636945
6075047701,37.7782506,-122.4840627,4.72899168381,9.21467016039,89.070963905
6075047702,37.7744602,-122.4837889,4.47003985743,9.82387572037,88.9738925814
6075047801,37.7758371,-122.4921143,3.78807109581,6.9150106249,89.0556713505
6075047802,37.779204,-122.497393,3.04383788679,4.94770290212,89.2187453192
6075047901,37.7824907,-122.5098633,1.32886110696,1.85067958251,89.5835591009
6075047902,37.7791834,-122.5039633,2.39671638132,3.28630337081,89.3750512288
6075060100,37.7991353,-122.480109,0.266688625148,2.75076303132,89.594757648
6075060400,37.7223022,-122.4911286,1.44338801907,2.60333345808,90.5220410585
6075060502,37.7109991,-122.4199075,5.69113806406,2.46126847066,91.3284077473
6075060700,37.7723808,-122.3906714,10.4359491503,32.1960858397,91.3982947332
6075061000,37.7132283,-122.3846994,2.93857686029,1.3900963857,91.7733645639
6075061100,37.7955998,-122.4040647,37.8070685645,92.6780677083,90.7807177604
6075061200,37.7370414,-122.3901777,15.713423433,4.88876849954,91.7296711617
6075061400,37.7550917,-122.3974733,12.0695410412,13.1820803181,91.3589300292
6075061500,37.7877258,-122.3923886,20.0282851936,69.9515242597,91.1867938696
6075980200,37.7860688,-122.5028261,1.2177170557,2.67678344618,89.4616270383
6075980300,37.7684025,-122.4920873,3.13525775415,7.42806868374,88.9086166239
6075980401,37.7272391,-123.0322294,0.0,0.0,91.0288277712
6075980501,37.7162957,-122.4191554,6.11517644274,3.74074945143,91.3350389075
6075980600,37.7231655,-122.3685424,1.26181679218,0.437429037548,92.1956432652
6075980900,37.7462861,-122.389477,8.48242617493,5.48897383543,91.7030670743
6075990100,37.76216,-122.5518622,2.71131855031e-08,0.0,91.237799796
